time (seconds),B,C,no fall/fall (0/1)
0,-67,-65,
0.1,-67,-65,
0.2,-67,-65,
0.3,-68,-68,
0.4,-68,-68,
0.5,-68,-68,
0.6,-68,-68,
0.7,-68,-68,
0.8,-68,-68,
0.9,-68,-68,
1,-68,-68,
1.1,-68,-68,
1.2,-68,-68,
1.3,-65,-65,
1.4,-65,-65,
1.5,-65,-65,
1.6,-65,-65,
1.7,-65,-65,
1.8,-65,-65,
1.9,-65,-65,
2,-65,-65,
2.1,-65,-65,
2.2,-65,-65,
2.3,-65,-65,
2.4,-64,-60,
2.5,-64,-60,
2.6,-64,-60,
2.7,-64,-60,
2.8,-64,-60,
2.9,-64,-60,
3,-64,-60,
3.1,-64,-60,
3.2,-64,-60,
3.3,-64,-60,
3.4,-63,-58,
3.5,-63,-58,
3.6,-63,-58,
3.7,-63,-58,
3.8,-63,-58,
3.9,-63,-58,
4,-63,-58,
4.1,-63,-58,
4.2,-63,-58,
4.3,-63,-58,
4.4,-63,-58,
4.5,-62,-56,
4.6,-62,-56,
4.7,-62,-56,
4.8,-62,-56,
4.9,-62,-56,
5,-62,-56,
5.1,-62,-56,
5.2,-62,-56,
5.3,-62,-56,
5.4,-62,-56,
5.5,-63,-52,
5.6,-63,-52,
5.7,-63,-52,
5.8,-63,-52,
5.9,-63,-52,
6,-63,-52,
6.1,-63,-52,
6.2,-63,-52,
6.3,-63,-52,
6.4,-63,-52,
6.5,-63,-52,
6.6,-63,-51,
6.7,-63,-51,
6.8,-63,-51,
6.9,-63,-51,
7,-63,-51,
7.1,-63,-51,
7.2,-63,-51,
7.3,-63,-51,
7.4,-63,-51,
7.5,-63,-51,
7.6,-63,-54,
7.7,-63,-54,
7.8,-63,-54,
7.9,-63,-54,
8,-63,-54,
8.1,-63,-54,
8.2,-63,-54,
8.3,-63,-54,
8.4,-63,-54,
8.5,-63,-54,
8.6,-63,-54,
8.7,-64,-59,
8.8,-64,-59,
8.9,-64,-59,
9,-64,-59,
9.1,-64,-59,
9.2,-64,-59,
9.3,-64,-59,
9.4,-64,-59,
9.5,-64,-59,
9.6,-64,-59,
9.7,-64,-64,
9.8,-64,-64,
9.9,-64,-64,
10,-64,-64,
10.1,-64,-64,
10.2,-64,-64,
10.3,-64,-64,
10.4,-64,-64,
10.5,-64,-64,
10.6,-64,-64,
10.7,-66,-66,
10.8,-66,-66,
10.9,-66,-66,
11,-66,-66,
11.1,-66,-66,
11.2,-66,-66,
11.3,-66,-66,
11.4,-66,-66,
11.5,-66,-66,
11.6,-66,-66,
11.7,-66,-66,
11.8,-66,-68,
11.9,-66,-68,
12,-66,-68,
12.1,-66,-68,
12.2,-66,-68,
12.3,-66,-68,
12.4,-66,-68,
12.5,-66,-68,
12.6,-66,-68,
12.7,-66,-68,
12.8,-64,-58,
12.9,-64,-58,
13,-64,-58,
13.1,-64,-58,
13.2,-64,-58,
13.3,-64,-58,
13.4,-64,-58,
13.5,-64,-58,
13.6,-64,-58,
13.7,-64,-58,
13.8,-64,-58,
13.9,-63,-60,
14,-63,-60,
14.1,-63,-60,
14.2,-63,-60,
14.3,-63,-60,
14.4,-63,-60,
14.5,-63,-60,
14.6,-63,-60,
14.7,-63,-60,
14.8,-63,-60,
14.9,-64,-66,
15,-64,-66,
15.1,-64,-66,
15.2,-64,-66,
15.3,-64,-66,
15.4,-64,-66,
15.5,-64,-66,
15.6,-64,-66,
15.7,-64,-66,
15.8,-64,-66,
15.9,-64,-66,
16,-65,-64,
16.1,-65,-64,
16.2,-65,-64,
16.3,-65,-64,
16.4,-65,-64,
16.5,-65,-64,
16.6,-65,-64,
16.7,-65,-64,
16.8,-65,-64,
16.9,-65,-64,
17,-63,-74,
17.1,-63,-74,
17.2,-63,-74,
17.3,-63,-74,
17.4,-63,-74,
17.5,-63,-74,
17.6,-63,-74,
17.7,-63,-74,
17.8,-63,-74,
17.9,-63,-74,
18,-63,-74,
18.1,-63,-77,
18.2,-63,-77,
18.3,-63,-77,
18.4,-63,-77,
18.5,-63,-77,
18.6,-63,-77,
18.7,-63,-77,
18.8,-63,-77,
18.9,-63,-77,
19,-63,-77,
19.1,-63,-68,
19.2,-66,-68,
19.3,-66,-68,
19.4,-66,-68,
19.5,-66,-68,
19.6,-66,-68,
19.7,-66,-68,
19.8,-66,-68,
19.9,-66,-68,
20,-66,-68,
20.1,-66,-68,
20.2,-64,-55,
20.3,-64,-55,
20.4,-64,-55,
20.5,-64,-55,
